text,intent,entities
Compare current conditions in Berlin and Seoul,weather_comparison,"{'location1': 'Berlin', 'location2': 'Seoul'}"
How do temperatures compare in here and my location?,weather_comparison,"{'location1': 'here', 'location2': 'my location'}"
Compare current conditions in London and Amsterdam,weather_comparison,"{'location1': 'London', 'location2': 'Amsterdam'}"
How do temperatures compare in Dubai and Moscow?,weather_comparison,"{'location1': 'Dubai', 'location2': 'Moscow'}"
"Which is warmer, Tokyo or New York?",weather_comparison,"{'location1': 'Tokyo', 'location2': 'New York'}"
How do temperatures compare in Singapore and Rome?,weather_comparison,"{'location1': 'Singapore', 'location2': 'Rome'}"
Weather comparison: London versus here,weather_comparison,"{'location1': 'London', 'location2': 'here'}"
"Which city has better weather, Singapore or Berlin?",weather_comparison,"{'location1': 'Singapore', 'location2': 'Berlin'}"
Compare current conditions in Singapore and Dubai,weather_comparison,"{'location1': 'Singapore', 'location2': 'Dubai'}"
What's the weather prediction for San Francisco?,weather_forecast,{'location': 'San Francisco'}
What's the mercury reading in Sydney?,temperature_query,{'location': 'Sydney'}
How's the weather different in Rome vs Moscow?,weather_comparison,"{'location1': 'Rome', 'location2': 'Moscow'}"
Temperature comparison between New York and Dubai,weather_comparison,"{'location1': 'New York', 'location2': 'Dubai'}"
What's the precipitation chance in Seoul?,precipitation_query,{'location': 'Seoul'}
How do temperatures compare in Seoul and San Francisco?,weather_comparison,"{'location1': 'Seoul', 'location2': 'San Francisco'}"
"Which is warmer, Sydney or Rome?",weather_comparison,"{'location1': 'Sydney', 'location2': 'Rome'}"
How does the weather in Seoul compare to Rome?,weather_comparison,"{'location1': 'Seoul', 'location2': 'Rome'}"
Forecast for Moscow,weather_forecast,{'location': 'Moscow'}
Temperature comparison between New York and Berlin,weather_comparison,"{'location1': 'New York', 'location2': 'Berlin'}"
Temperature comparison between London and here,weather_comparison,"{'location1': 'London', 'location2': 'here'}"
Compare current conditions in Rome and current location,weather_comparison,"{'location1': 'Rome', 'location2': 'current location'}"
Compare weather in current location and San Francisco,weather_comparison,"{'location1': 'current location', 'location2': 'San Francisco'}"
Weather report for Paris,current_weather,{'location': 'Paris'}
Compare weather in here and Dubai,weather_comparison,"{'location1': 'here', 'location2': 'Dubai'}"
How's the weather different in Moscow vs Amsterdam?,weather_comparison,"{'location1': 'Moscow', 'location2': 'Amsterdam'}"
"Which is warmer, Toronto or San Francisco?",weather_comparison,"{'location1': 'Toronto', 'location2': 'San Francisco'}"
How do temperatures compare in Berlin and Singapore?,weather_comparison,"{'location1': 'Berlin', 'location2': 'Singapore'}"
"Which is warmer, New York or Rome?",weather_comparison,"{'location1': 'New York', 'location2': 'Rome'}"
Weather comparison between New York and Rome,weather_comparison,"{'location1': 'New York', 'location2': 'Rome'}"
"Which city has better weather, Paris or Rome?",weather_comparison,"{'location1': 'Paris', 'location2': 'Rome'}"
Weather comparison between Mumbai and Amsterdam,weather_comparison,"{'location1': 'Mumbai', 'location2': 'Amsterdam'}"
Compare current conditions in my location and Amsterdam,weather_comparison,"{'location1': 'my location', 'location2': 'Amsterdam'}"
"Which city has better weather, my location or here?",weather_comparison,"{'location1': 'my location', 'location2': 'here'}"
How does the weather in Moscow compare to Toronto?,weather_comparison,"{'location1': 'Moscow', 'location2': 'Toronto'}"
Compare weather in Mumbai and current location,weather_comparison,"{'location1': 'Mumbai', 'location2': 'current location'}"
What's the weather difference between Moscow and Tokyo?,weather_comparison,"{'location1': 'Moscow', 'location2': 'Tokyo'}"
Temperature comparison between Berlin and London,weather_comparison,"{'location1': 'Berlin', 'location2': 'London'}"
Can you tell me the weather in Tokyo?,current_weather,{'location': 'Tokyo'}
Weather comparison between here and Mumbai,weather_comparison,"{'location1': 'here', 'location2': 'Mumbai'}"
"Which is warmer, Toronto or Berlin?",weather_comparison,"{'location1': 'Toronto', 'location2': 'Berlin'}"
Compare temperatures in Berlin and New York,weather_comparison,"{'location1': 'Berlin', 'location2': 'New York'}"
"Which city has better weather, Berlin or Toronto?",weather_comparison,"{'location1': 'Berlin', 'location2': 'Toronto'}"
How's the weather different in my location vs Berlin?,weather_comparison,"{'location1': 'my location', 'location2': 'Berlin'}"
"Which is warmer, my location or London?",weather_comparison,"{'location1': 'my location', 'location2': 'London'}"
Weather comparison between Berlin and Sydney,weather_comparison,"{'location1': 'Berlin', 'location2': 'Sydney'}"
How do temperatures compare in here and Rome?,weather_comparison,"{'location1': 'here', 'location2': 'Rome'}"
Compare weather in my location and Toronto,weather_comparison,"{'location1': 'my location', 'location2': 'Toronto'}"
"Which city has better weather, Mumbai or Toronto?",weather_comparison,"{'location1': 'Mumbai', 'location2': 'Toronto'}"
Compare weather in Paris and Amsterdam,weather_comparison,"{'location1': 'Paris', 'location2': 'Amsterdam'}"
Compare weather in Seoul and Amsterdam,weather_comparison,"{'location1': 'Seoul', 'location2': 'Amsterdam'}"
Weather contrast between Dubai and Berlin,weather_comparison,"{'location1': 'Dubai', 'location2': 'Berlin'}"
"Which is colder, New York or Berlin?",weather_comparison,"{'location1': 'New York', 'location2': 'Berlin'}"
What's the weather going to be like in Seoul tomorrow?,weather_forecast,{'location': 'Seoul'}
Temperature comparison between New York and London,weather_comparison,"{'location1': 'New York', 'location2': 'London'}"
"Which city has better weather, Amsterdam or current location?",weather_comparison,"{'location1': 'Amsterdam', 'location2': 'current location'}"
How's the weather different in current location vs London?,weather_comparison,"{'location1': 'current location', 'location2': 'London'}"
Temperature comparison between Sydney and Dubai,weather_comparison,"{'location1': 'Sydney', 'location2': 'Dubai'}"
Precipitation forecast for Paris,precipitation_query,{'location': 'Paris'}
Weather comparison: here versus London,weather_comparison,"{'location1': 'here', 'location2': 'London'}"
What's the weather difference between Dubai and Toronto?,weather_comparison,"{'location1': 'Dubai', 'location2': 'Toronto'}"
Weather comparison: Seoul versus London,weather_comparison,"{'location1': 'Seoul', 'location2': 'London'}"
What's the weather right now in here?,current_weather,{'location': 'here'}
Weather comparison: Dubai versus San Francisco,weather_comparison,"{'location1': 'Dubai', 'location2': 'San Francisco'}"
Is there any rain expected in New York?,precipitation_query,{'location': 'New York'}
"Which city has better weather, Seoul or London?",weather_comparison,"{'location1': 'Seoul', 'location2': 'London'}"
"Which is warmer, London or Paris?",weather_comparison,"{'location1': 'London', 'location2': 'Paris'}"
What's the weather difference between New York and here?,weather_comparison,"{'location1': 'New York', 'location2': 'here'}"
How do temperatures compare in Toronto and current location?,weather_comparison,"{'location1': 'Toronto', 'location2': 'current location'}"
Temperature reading for Tokyo,temperature_query,{'location': 'Tokyo'}
Is there any rain expected in Paris?,precipitation_query,{'location': 'Paris'}
Temperature comparison between Dubai and Amsterdam,weather_comparison,"{'location1': 'Dubai', 'location2': 'Amsterdam'}"
Compare weather in current location and Sydney,weather_comparison,"{'location1': 'current location', 'location2': 'Sydney'}"
Compare current conditions in my location and London,weather_comparison,"{'location1': 'my location', 'location2': 'London'}"
What's the weather right now in Amsterdam?,current_weather,{'location': 'Amsterdam'}
Is it going to rain in Rome?,precipitation_query,{'location': 'Rome'}
"Which is colder, Seoul or Mumbai?",weather_comparison,"{'location1': 'Seoul', 'location2': 'Mumbai'}"
Weather difference between Singapore and San Francisco,weather_comparison,"{'location1': 'Singapore', 'location2': 'San Francisco'}"
Compare current conditions in Toronto and here,weather_comparison,"{'location1': 'Toronto', 'location2': 'here'}"
What's the weather difference between Rome and Amsterdam?,weather_comparison,"{'location1': 'Rome', 'location2': 'Amsterdam'}"
Weather difference between Tokyo and Berlin,weather_comparison,"{'location1': 'Tokyo', 'location2': 'Berlin'}"
"Which is colder, Tokyo or here?",weather_comparison,"{'location1': 'Tokyo', 'location2': 'here'}"
Will there be any precipitation in Moscow?,precipitation_query,{'location': 'Moscow'}
How does the weather in Amsterdam compare to my location?,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'my location'}"
Compare current conditions in London and Berlin,weather_comparison,"{'location1': 'London', 'location2': 'Berlin'}"
How does the weather in Seoul compare to Berlin?,weather_comparison,"{'location1': 'Seoul', 'location2': 'Berlin'}"
Will there be any precipitation in Singapore?,precipitation_query,{'location': 'Singapore'}
Compare current conditions in Moscow and my location,weather_comparison,"{'location1': 'Moscow', 'location2': 'my location'}"
Will there be any precipitation in Amsterdam?,precipitation_query,{'location': 'Amsterdam'}
Weather contrast between Dubai and Rome,weather_comparison,"{'location1': 'Dubai', 'location2': 'Rome'}"
Weather contrast between Berlin and Singapore,weather_comparison,"{'location1': 'Berlin', 'location2': 'Singapore'}"
Compare current conditions in Toronto and San Francisco,weather_comparison,"{'location1': 'Toronto', 'location2': 'San Francisco'}"
What's the current weather in San Francisco?,current_weather,{'location': 'San Francisco'}
Temperature comparison between Toronto and Singapore,weather_comparison,"{'location1': 'Toronto', 'location2': 'Singapore'}"
What's the weather difference between Sydney and Amsterdam?,weather_comparison,"{'location1': 'Sydney', 'location2': 'Amsterdam'}"
Weather comparison between here and Amsterdam,weather_comparison,"{'location1': 'here', 'location2': 'Amsterdam'}"
How does the weather in Dubai compare to Berlin?,weather_comparison,"{'location1': 'Dubai', 'location2': 'Berlin'}"
How does the weather in New York compare to Amsterdam?,weather_comparison,"{'location1': 'New York', 'location2': 'Amsterdam'}"
What's the weather prediction for Sydney?,weather_forecast,{'location': 'Sydney'}
Weather difference between Moscow and Tokyo,weather_comparison,"{'location1': 'Moscow', 'location2': 'Tokyo'}"
"Which is warmer, Rome or Tokyo?",weather_comparison,"{'location1': 'Rome', 'location2': 'Tokyo'}"
How's the weather different in Sydney vs current location?,weather_comparison,"{'location1': 'Sydney', 'location2': 'current location'}"
Rain probability in Mumbai,precipitation_query,{'location': 'Mumbai'}
How does the weather in Paris compare to Sydney?,weather_comparison,"{'location1': 'Paris', 'location2': 'Sydney'}"
Weather update for London,current_weather,{'location': 'London'}
Compare temperatures in San Francisco and Paris,weather_comparison,"{'location1': 'San Francisco', 'location2': 'Paris'}"
"Which is colder, here or Sydney?",weather_comparison,"{'location1': 'here', 'location2': 'Sydney'}"
Is there any rain expected in London?,precipitation_query,{'location': 'London'}
"Which city has better weather, Toronto or Tokyo?",weather_comparison,"{'location1': 'Toronto', 'location2': 'Tokyo'}"
How do temperatures compare in Toronto and San Francisco?,weather_comparison,"{'location1': 'Toronto', 'location2': 'San Francisco'}"
Compare temperatures in Seoul and Berlin,weather_comparison,"{'location1': 'Seoul', 'location2': 'Berlin'}"
What's the weather prediction for Toronto?,weather_forecast,{'location': 'Toronto'}
Compare temperatures in Amsterdam and Rome,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Rome'}"
What's the weather difference between Dubai and here?,weather_comparison,"{'location1': 'Dubai', 'location2': 'here'}"
Weather comparison between my location and Seoul,weather_comparison,"{'location1': 'my location', 'location2': 'Seoul'}"
"Which is colder, Moscow or Toronto?",weather_comparison,"{'location1': 'Moscow', 'location2': 'Toronto'}"
What's the weather difference between London and Mumbai?,weather_comparison,"{'location1': 'London', 'location2': 'Mumbai'}"
Forecast for Seoul,weather_forecast,{'location': 'Seoul'}
What's the weather situation in current location?,current_weather,{'location': 'current location'}
Temperature comparison between San Francisco and current location,weather_comparison,"{'location1': 'San Francisco', 'location2': 'current location'}"
How's the weather looking in current location?,current_weather,{'location': 'current location'}
What's the temp in London?,temperature_query,{'location': 'London'}
Compare current conditions in here and current location,weather_comparison,"{'location1': 'here', 'location2': 'current location'}"
How's the weather different in Toronto vs San Francisco?,weather_comparison,"{'location1': 'Toronto', 'location2': 'San Francisco'}"
Temperature comparison between New York and my location,weather_comparison,"{'location1': 'New York', 'location2': 'my location'}"
How do temperatures compare in here and Amsterdam?,weather_comparison,"{'location1': 'here', 'location2': 'Amsterdam'}"
What's the weather difference between Seoul and Singapore?,weather_comparison,"{'location1': 'Seoul', 'location2': 'Singapore'}"
How do temperatures compare in Paris and Rome?,weather_comparison,"{'location1': 'Paris', 'location2': 'Rome'}"
How's the weather looking in Mumbai?,current_weather,{'location': 'Mumbai'}
Current temperature in Seoul,temperature_query,{'location': 'Seoul'}
What's the weather difference between Rome and New York?,weather_comparison,"{'location1': 'Rome', 'location2': 'New York'}"
"Which city has better weather, Rome or San Francisco?",weather_comparison,"{'location1': 'Rome', 'location2': 'San Francisco'}"
What's the weather going to be like this week in New York?,weather_forecast,{'location': 'New York'}
Weather comparison: Seoul versus Paris,weather_comparison,"{'location1': 'Seoul', 'location2': 'Paris'}"
Is there any rain expected in Toronto?,precipitation_query,{'location': 'Toronto'}
Precipitation forecast for Seoul,precipitation_query,{'location': 'Seoul'}
Weather comparison between current location and San Francisco,weather_comparison,"{'location1': 'current location', 'location2': 'San Francisco'}"
"Which city has better weather, London or Paris?",weather_comparison,"{'location1': 'London', 'location2': 'Paris'}"
How's the weather different in current location vs New York?,weather_comparison,"{'location1': 'current location', 'location2': 'New York'}"
Compare weather in Toronto and Singapore,weather_comparison,"{'location1': 'Toronto', 'location2': 'Singapore'}"
What's the current temperature in Rome?,temperature_query,{'location': 'Rome'}
Weather difference between Seoul and Paris,weather_comparison,"{'location1': 'Seoul', 'location2': 'Paris'}"
Precipitation forecast for my location,precipitation_query,{'location': 'my location'}
Is it going to rain in Dubai?,precipitation_query,{'location': 'Dubai'}
Weather comparison between Rome and New York,weather_comparison,"{'location1': 'Rome', 'location2': 'New York'}"
Compare weather in Berlin and Amsterdam,weather_comparison,"{'location1': 'Berlin', 'location2': 'Amsterdam'}"
Will it rain today in Paris?,precipitation_query,{'location': 'Paris'}
Compare temperatures in my location and Sydney,weather_comparison,"{'location1': 'my location', 'location2': 'Sydney'}"
"Which is colder, my location or here?",weather_comparison,"{'location1': 'my location', 'location2': 'here'}"
How does the weather in Tokyo compare to current location?,weather_comparison,"{'location1': 'Tokyo', 'location2': 'current location'}"
Weather difference between here and Sydney,weather_comparison,"{'location1': 'here', 'location2': 'Sydney'}"
Compare current conditions in San Francisco and New York,weather_comparison,"{'location1': 'San Francisco', 'location2': 'New York'}"
Weather comparison: current location versus New York,weather_comparison,"{'location1': 'current location', 'location2': 'New York'}"
Weather difference between Dubai and Moscow,weather_comparison,"{'location1': 'Dubai', 'location2': 'Moscow'}"
What's the weather difference between Dubai and current location?,weather_comparison,"{'location1': 'Dubai', 'location2': 'current location'}"
"Which city has better weather, San Francisco or Singapore?",weather_comparison,"{'location1': 'San Francisco', 'location2': 'Singapore'}"
Compare temperatures in current location and New York,weather_comparison,"{'location1': 'current location', 'location2': 'New York'}"
Compare temperatures in London and Rome,weather_comparison,"{'location1': 'London', 'location2': 'Rome'}"
Weather comparison between Tokyo and Dubai,weather_comparison,"{'location1': 'Tokyo', 'location2': 'Dubai'}"
What's the feels like temperature in Tokyo?,temperature_query,{'location': 'Tokyo'}
What's the weather difference between Paris and Rome?,weather_comparison,"{'location1': 'Paris', 'location2': 'Rome'}"
Compare temperatures in Moscow and Mumbai,weather_comparison,"{'location1': 'Moscow', 'location2': 'Mumbai'}"
"Which is warmer, Toronto or London?",weather_comparison,"{'location1': 'Toronto', 'location2': 'London'}"
What's the weather difference between New York and Sydney?,weather_comparison,"{'location1': 'New York', 'location2': 'Sydney'}"
How do temperatures compare in Tokyo and Seoul?,weather_comparison,"{'location1': 'Tokyo', 'location2': 'Seoul'}"
Weather contrast between Seoul and here,weather_comparison,"{'location1': 'Seoul', 'location2': 'here'}"
Weather difference between Singapore and New York,weather_comparison,"{'location1': 'Singapore', 'location2': 'New York'}"
What's the weather difference between Berlin and Dubai?,weather_comparison,"{'location1': 'Berlin', 'location2': 'Dubai'}"
What's the heat index in Berlin?,temperature_query,{'location': 'Berlin'}
How do temperatures compare in Seoul and current location?,weather_comparison,"{'location1': 'Seoul', 'location2': 'current location'}"
Weather contrast between Moscow and my location,weather_comparison,"{'location1': 'Moscow', 'location2': 'my location'}"
How does the weather in Seoul compare to Paris?,weather_comparison,"{'location1': 'Seoul', 'location2': 'Paris'}"
How do temperatures compare in Sydney and Amsterdam?,weather_comparison,"{'location1': 'Sydney', 'location2': 'Amsterdam'}"
"Which city has better weather, New York or my location?",weather_comparison,"{'location1': 'New York', 'location2': 'my location'}"
"Which is warmer, Amsterdam or Toronto?",weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Toronto'}"
What's the feels like temperature in San Francisco?,temperature_query,{'location': 'San Francisco'}
"Which is warmer, London or Rome?",weather_comparison,"{'location1': 'London', 'location2': 'Rome'}"
Weather comparison between Sydney and Tokyo,weather_comparison,"{'location1': 'Sydney', 'location2': 'Tokyo'}"
"Which city has better weather, Berlin or Tokyo?",weather_comparison,"{'location1': 'Berlin', 'location2': 'Tokyo'}"
Compare current conditions in Mumbai and Sydney,weather_comparison,"{'location1': 'Mumbai', 'location2': 'Sydney'}"
Temperature comparison between Mumbai and Seoul,weather_comparison,"{'location1': 'Mumbai', 'location2': 'Seoul'}"
Weather forecast for Mumbai for the next few days,weather_forecast,{'location': 'Mumbai'}
How does the weather in current location compare to Moscow?,weather_comparison,"{'location1': 'current location', 'location2': 'Moscow'}"
How's the weather different in Moscow vs Seoul?,weather_comparison,"{'location1': 'Moscow', 'location2': 'Seoul'}"
Weather comparison: here versus Mumbai,weather_comparison,"{'location1': 'here', 'location2': 'Mumbai'}"
How's the weather different in London vs Moscow?,weather_comparison,"{'location1': 'London', 'location2': 'Moscow'}"
Compare temperatures in Seoul and London,weather_comparison,"{'location1': 'Seoul', 'location2': 'London'}"
Is it going to rain in Berlin?,precipitation_query,{'location': 'Berlin'}
Compare temperatures in Singapore and Berlin,weather_comparison,"{'location1': 'Singapore', 'location2': 'Berlin'}"
"Which city has better weather, Moscow or Rome?",weather_comparison,"{'location1': 'Moscow', 'location2': 'Rome'}"
What's the weather going to be like in here tomorrow?,weather_forecast,{'location': 'here'}
Weather difference between Rome and here,weather_comparison,"{'location1': 'Rome', 'location2': 'here'}"
Weather comparison: Singapore versus Moscow,weather_comparison,"{'location1': 'Singapore', 'location2': 'Moscow'}"
Weather comparison between Moscow and Sydney,weather_comparison,"{'location1': 'Moscow', 'location2': 'Sydney'}"
"Which is warmer, Seoul or Berlin?",weather_comparison,"{'location1': 'Seoul', 'location2': 'Berlin'}"
Temperature comparison between Paris and Dubai,weather_comparison,"{'location1': 'Paris', 'location2': 'Dubai'}"
How do temperatures compare in Paris and Dubai?,weather_comparison,"{'location1': 'Paris', 'location2': 'Dubai'}"
How do temperatures compare in Berlin and here?,weather_comparison,"{'location1': 'Berlin', 'location2': 'here'}"
Compare weather in Seoul and Rome,weather_comparison,"{'location1': 'Seoul', 'location2': 'Rome'}"
Temperature comparison between Amsterdam and my location,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'my location'}"
"Which is colder, Singapore or San Francisco?",weather_comparison,"{'location1': 'Singapore', 'location2': 'San Francisco'}"
Temperature comparison between Moscow and Rome,weather_comparison,"{'location1': 'Moscow', 'location2': 'Rome'}"
What's the weather difference between Amsterdam and Berlin?,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Berlin'}"
"Which is warmer, Tokyo or Toronto?",weather_comparison,"{'location1': 'Tokyo', 'location2': 'Toronto'}"
What's the temperature in Paris?,current_weather,{'location': 'Paris'}
Weather contrast between Moscow and New York,weather_comparison,"{'location1': 'Moscow', 'location2': 'New York'}"
Weather outlook for Rome,weather_forecast,{'location': 'Rome'}
How does the weather in current location compare to Berlin?,weather_comparison,"{'location1': 'current location', 'location2': 'Berlin'}"
"Which is colder, Berlin or current location?",weather_comparison,"{'location1': 'Berlin', 'location2': 'current location'}"
"Which city has better weather, here or Amsterdam?",weather_comparison,"{'location1': 'here', 'location2': 'Amsterdam'}"
Weather difference between my location and Mumbai,weather_comparison,"{'location1': 'my location', 'location2': 'Mumbai'}"
Weather comparison: Dubai versus Sydney,weather_comparison,"{'location1': 'Dubai', 'location2': 'Sydney'}"
How cold is it in Amsterdam?,temperature_query,{'location': 'Amsterdam'}
How does the weather in current location compare to London?,weather_comparison,"{'location1': 'current location', 'location2': 'London'}"
Will there be any precipitation in here?,precipitation_query,{'location': 'here'}
Weather comparison: Moscow versus Berlin,weather_comparison,"{'location1': 'Moscow', 'location2': 'Berlin'}"
Temperature comparison between Rome and Dubai,weather_comparison,"{'location1': 'Rome', 'location2': 'Dubai'}"
How does the weather in Toronto compare to my location?,weather_comparison,"{'location1': 'Toronto', 'location2': 'my location'}"
What's the temperature in Rome?,current_weather,{'location': 'Rome'}
"Which is colder, Moscow or Amsterdam?",weather_comparison,"{'location1': 'Moscow', 'location2': 'Amsterdam'}"
How do temperatures compare in Amsterdam and Sydney?,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Sydney'}"
"Which is warmer, Amsterdam or Paris?",weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Paris'}"
How's the weather different in Rome vs Seoul?,weather_comparison,"{'location1': 'Rome', 'location2': 'Seoul'}"
Is it raining in Toronto?,current_weather,{'location': 'Toronto'}
"Which is colder, Mumbai or here?",weather_comparison,"{'location1': 'Mumbai', 'location2': 'here'}"
How does the weather in current location compare to my location?,weather_comparison,"{'location1': 'current location', 'location2': 'my location'}"
Temperature comparison between San Francisco and Amsterdam,weather_comparison,"{'location1': 'San Francisco', 'location2': 'Amsterdam'}"
What's the current temperature in Paris?,temperature_query,{'location': 'Paris'}
Rain probability in Moscow,precipitation_query,{'location': 'Moscow'}
Compare current conditions in Dubai and Moscow,weather_comparison,"{'location1': 'Dubai', 'location2': 'Moscow'}"
Will there be any precipitation in Sydney?,precipitation_query,{'location': 'Sydney'}
"Which is warmer, Amsterdam or my location?",weather_comparison,"{'location1': 'Amsterdam', 'location2': 'my location'}"
How's the weather different in Sydney vs Rome?,weather_comparison,"{'location1': 'Sydney', 'location2': 'Rome'}"
Compare temperatures in New York and Moscow,weather_comparison,"{'location1': 'New York', 'location2': 'Moscow'}"
What's the weather difference between Toronto and Paris?,weather_comparison,"{'location1': 'Toronto', 'location2': 'Paris'}"
"Which is colder, Toronto or Rome?",weather_comparison,"{'location1': 'Toronto', 'location2': 'Rome'}"
Compare weather in Paris and my location,weather_comparison,"{'location1': 'Paris', 'location2': 'my location'}"
How do temperatures compare in Moscow and Seoul?,weather_comparison,"{'location1': 'Moscow', 'location2': 'Seoul'}"
Compare temperatures in Paris and my location,weather_comparison,"{'location1': 'Paris', 'location2': 'my location'}"
Weather comparison between Moscow and Rome,weather_comparison,"{'location1': 'Moscow', 'location2': 'Rome'}"
How do temperatures compare in current location and New York?,weather_comparison,"{'location1': 'current location', 'location2': 'New York'}"
Weather comparison: London versus Dubai,weather_comparison,"{'location1': 'London', 'location2': 'Dubai'}"
How does the weather in Amsterdam compare to London?,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'London'}"
Compare current conditions in current location and Tokyo,weather_comparison,"{'location1': 'current location', 'location2': 'Tokyo'}"
Is there any chance of rain in San Francisco?,precipitation_query,{'location': 'San Francisco'}
How do temperatures compare in Rome and current location?,weather_comparison,"{'location1': 'Rome', 'location2': 'current location'}"
Compare current conditions in London and Dubai,weather_comparison,"{'location1': 'London', 'location2': 'Dubai'}"
How do temperatures compare in London and Tokyo?,weather_comparison,"{'location1': 'London', 'location2': 'Tokyo'}"
Temperature comparison between Amsterdam and Singapore,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Singapore'}"
What's the weather difference between Tokyo and Paris?,weather_comparison,"{'location1': 'Tokyo', 'location2': 'Paris'}"
How do temperatures compare in Berlin and Tokyo?,weather_comparison,"{'location1': 'Berlin', 'location2': 'Tokyo'}"
How does the weather in my location compare to London?,weather_comparison,"{'location1': 'my location', 'location2': 'London'}"
How do temperatures compare in Rome and Toronto?,weather_comparison,"{'location1': 'Rome', 'location2': 'Toronto'}"
"Which is colder, London or Moscow?",weather_comparison,"{'location1': 'London', 'location2': 'Moscow'}"
How does the weather in Sydney compare to Dubai?,weather_comparison,"{'location1': 'Sydney', 'location2': 'Dubai'}"
How does the weather in Dubai compare to San Francisco?,weather_comparison,"{'location1': 'Dubai', 'location2': 'San Francisco'}"
"Which is colder, Sydney or current location?",weather_comparison,"{'location1': 'Sydney', 'location2': 'current location'}"
What's the current temperature in here?,temperature_query,{'location': 'here'}
Temperature comparison between London and Toronto,weather_comparison,"{'location1': 'London', 'location2': 'Toronto'}"
"Which is warmer, New York or Amsterdam?",weather_comparison,"{'location1': 'New York', 'location2': 'Amsterdam'}"
"Which is warmer, Singapore or Toronto?",weather_comparison,"{'location1': 'Singapore', 'location2': 'Toronto'}"
"Which city has better weather, Seoul or Amsterdam?",weather_comparison,"{'location1': 'Seoul', 'location2': 'Amsterdam'}"
What's the weather forecast for Paris?,weather_forecast,{'location': 'Paris'}
Compare current conditions in New York and Seoul,weather_comparison,"{'location1': 'New York', 'location2': 'Seoul'}"
How's the weather different in Singapore vs Tokyo?,weather_comparison,"{'location1': 'Singapore', 'location2': 'Tokyo'}"
What's the weather difference between Amsterdam and Seoul?,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Seoul'}"
Temperature comparison between Amsterdam and Toronto,weather_comparison,"{'location1': 'Amsterdam', 'location2': 'Toronto'}"
"Which city has better weather, Seoul or Paris?",weather_comparison,"{'location1': 'Seoul', 'location2': 'Paris'}"
Weather contrast between New York and current location,weather_comparison,"{'location1': 'New York', 'location2': 'current location'}"
What's the weather forecast for current location?,weather_forecast,{'location': 'current location'}
"Which city has better weather, Mumbai or Paris?",weather_comparison,"{'location1': 'Mumbai', 'location2': 'Paris'}"
Temperature comparison between Dubai and London,weather_comparison,"{'location1': 'Dubai', 'location2': 'London'}"
Compare temperatures in my location and London,weather_comparison,"{'location1': 'my location', 'location2': 'London'}"
What's the weather like in Moscow?,current_weather,{'location': 'Moscow'}
What's the weather difference between Rome and Berlin?,weather_comparison,"{'location1': 'Rome', 'location2': 'Berlin'}"
How do temperatures compare in current location and Tokyo?,weather_comparison,"{'location1': 'current location', 'location2': 'Tokyo'}"
"Which is warmer, New York or Mumbai?",weather_comparison,"{'location1': 'New York', 'location2': 'Mumbai'}"
"Which city has better weather, Dubai or Toronto?",weather_comparison,"{'location1': 'Dubai', 'location2': 'Toronto'}"
Weather contrast between New York and Toronto,weather_comparison,"{'location1': 'New York', 'location2': 'Toronto'}"
Weather comparison: Tokyo versus Rome,weather_comparison,"{'location1': 'Tokyo', 'location2': 'Rome'}"
How's the weather today in current location?,current_weather,{'location': 'current location'}
What's the weather difference between Rome and London?,weather_comparison,"{'location1': 'Rome', 'location2': 'London'}"
"Which is colder, San Francisco or New York?",weather_comparison,"{'location1': 'San Francisco', 'location2': 'New York'}"
Current weather conditions for Rome,current_weather,{'location': 'Rome'}
Compare weather in my location and Amsterdam,weather_comparison,"{'location1': 'my location', 'location2': 'Amsterdam'}"
Tell me the weather forecast for New York,weather_forecast,{'location': 'New York'}
Weather comparison between Paris and San Francisco,weather_comparison,"{'location1': 'Paris', 'location2': 'San Francisco'}"
Weather comparison between Berlin and Rome,weather_comparison,"{'location1': 'Berlin', 'location2': 'Rome'}"
Weather comparison between Paris and Singapore,weather_comparison,"{'location1': 'Paris', 'location2': 'Singapore'}"
What's the weather like in Dubai?,current_weather,{'location': 'Dubai'}
How do temperatures compare in Rome and Tokyo?,weather_comparison,"{'location1': 'Rome', 'location2': 'Tokyo'}"
Current weather conditions for here,current_weather,{'location': 'here'}
How's the weather different in Rome vs New York?,weather_comparison,"{'location1': 'Rome', 'location2': 'New York'}"
How's the weather today in Sydney?,current_weather,{'location': 'Sydney'}
How do temperatures compare in my location and Amsterdam?,weather_comparison,"{'location1': 'my location', 'location2': 'Amsterdam'}"
Temperature comparison between here and Paris,weather_comparison,"{'location1': 'here', 'location2': 'Paris'}"
Compare weather in my location and current location,weather_comparison,"{'location1': 'my location', 'location2': 'current location'}"
Compare current conditions in Seoul and Amsterdam,weather_comparison,"{'location1': 'Seoul', 'location2': 'Amsterdam'}"
